joint_pos, joint_vel_desired, joint_vel_filtered, current_time
0.380859,1.12262e-08,0,0.004
0.380871,4.48986e-08,0.00138058,0.008
0.380873,1.01008e-07,0.000959351,0.012
0.380873,1.79546e-07,0.00049505,0.016
0.380872,2.80503e-07,0.000160199,0.02
0.380871,4.0387e-07,5.07212e-05,0.024
0.380871,5.49638e-07,-1.01485e-05,0.028
0.38087,7.17798e-07,-8.23416e-05,0.032
0.380868,9.08341e-07,-0.000275879,0.036
0.380867,1.12126e-06,-0.000268437,0.04
0.380866,1.35654e-06,-0.000340999,0.044
0.380865,1.61418e-06,-0.000304644,0.048
0.380864,1.89416e-06,-0.000246081,0.052
0.380864,2.19648e-06,-0.000136821,0.056
0.380864,2.52113e-06,-7.60725e-05,0.06
0.380864,2.8681e-06,-4.22963e-05,0.064
0.380864,3.23738e-06,-2.35167e-05,0.068
0.380864,3.62896e-06,-1.30753e-05,0.072
0.380864,4.04284e-06,-7.26987e-06,0.076
0.380864,4.47899e-06,-4.04205e-06,0.08
0.380864,4.93742e-06,-2.24738e-06,0.084
0.380865,5.41812e-06,7.54495e-05,0.088
0.380864,5.92107e-06,-3.47491e-05,0.092
0.380864,6.44627e-06,-1.93205e-05,0.096
0.380864,6.99371e-06,-1.07422e-05,0.1
0.380864,7.56338e-06,-5.97266e-06,0.104
0.380864,8.15526e-06,-3.3208e-06,0.108
0.380864,8.76936e-06,-1.84637e-06,0.112
0.380864,9.40566e-06,-1.02658e-06,0.116
0.380864,1.00641e-05,-5.70778e-07,0.12
0.380864,1.07448e-05,-3.17353e-07,0.124
0.380864,1.14477e-05,-1.76448e-07,0.128
0.380864,1.21727e-05,-9.81051e-08,0.132
0.380864,1.29199e-05,-5.45464e-08,0.136
0.380864,1.36892e-05,-3.03278e-08,0.14
0.380865,1.44806e-05,7.66822e-05,0.144
0.380864,1.52942e-05,-7.24133e-05,0.148
0.380864,1.61299e-05,-1.91226e-06,0.152
0.380864,1.69877e-05,-1.06322e-06,0.156
0.380864,1.78677e-05,-5.91148e-07,0.16
0.380864,1.87697e-05,-3.28678e-07,0.164
0.380864,1.96938e-05,-1.82745e-07,0.168
0.380865,2.06399e-05,7.65974e-05,0.172
0.380864,2.16082e-05,4.23865e-06,0.176
0.380864,2.25985e-05,-7.43423e-05,0.18
0.380864,2.36108e-05,3.53647e-05,0.184
0.380864,2.46452e-05,-1.86867e-05,0.188
0.380865,2.57016e-05,6.63092e-05,0.192
0.380865,2.678e-05,3.68679e-05,0.196
0.380864,2.78805e-05,-1.7851e-05,0.2
0.380864,2.90029e-05,-4.82746e-05,0.204
0.380864,3.01474e-05,1.15088e-05,0.208
0.380864,3.13138e-05,-3.19506e-05,0.212
0.380864,3.25022e-05,2.0585e-05,0.216
0.380864,3.37126e-05,-6.52538e-05,0.22
0.380864,3.49449e-05,2.06841e-06,0.224
0.380864,3.61991e-05,-3.71995e-05,0.228
0.380864,3.74754e-05,1.76666e-05,0.232
0.380864,3.87735e-05,9.82263e-06,0.236
0.380864,4.00935e-05,4.38109e-05,0.24
0.380864,4.14355e-05,2.43589e-05,0.244
0.380864,4.27994e-05,1.35435e-05,0.248
0.380865,4.41852e-05,4.58797e-05,0.252
0.380864,4.55928e-05,-1.28404e-05,0.256
0.380864,4.70223e-05,-7.13926e-06,0.26
0.380864,4.84737e-05,-4.23189e-05,0.264
0.380864,4.9947e-05,1.48202e-05,0.268
0.380864,5.14421e-05,-6.8459e-05,0.272
0.380864,5.2959e-05,-3.80632e-05,0.276
0.380864,5.44978e-05,1.71864e-05,0.28
0.380864,5.60584e-05,9.55562e-06,0.284
0.380864,5.76408e-05,4.36624e-05,0.288
0.380865,5.9245e-05,6.26258e-05,0.292
0.380864,6.0871e-05,-4.18791e-05,0.296
0.380864,6.25188e-05,-2.32848e-05,0.3
0.380864,6.41884e-05,2.54032e-05,0.304
0.380864,6.58797e-05,1.41242e-05,0.308
0.380864,6.75928e-05,-3.04965e-05,0.312
0.380864,6.93276e-05,-1.6956e-05,0.316
0.380864,7.10842e-05,-9.42756e-06,0.32
0.380864,7.28625e-05,-5.24172e-06,0.324
0.380864,7.46625e-05,3.54351e-05,0.328
0.380864,7.64843e-05,-1.86476e-05,0.332
0.380864,7.83277e-05,2.79815e-05,0.336
0.380864,8.01929e-05,1.55577e-05,0.34
0.380864,8.20797e-05,-2.96994e-05,0.344
0.380864,8.39882e-05,2.18366e-05,0.348
0.380864,8.59184e-05,-2.62083e-05,0.352
0.380864,8.78702e-05,2.37777e-05,0.356
0.380864,8.98437e-05,-2.51291e-05,0.36
0.380864,9.18388e-05,2.43777e-05,0.364
0.380864,9.38555e-05,1.3554e-05,0.368
0.380864,9.58939e-05,7.53603e-06,0.372
0.380864,9.79539e-05,4.19003e-06,0.376
0.380864,0.000100035,-3.60199e-05,0.38
0.380864,0.000102139,1.83225e-05,0.384
0.380864,0.000104263,1.01873e-05,0.388
0.380864,0.00010641,-3.26854e-05,0.392
0.380864,0.000108578,2.01764e-05,0.396
0.380864,0.000110767,1.12181e-05,0.4
0.380864,0.000112978,6.23726e-06,0.404
0.380864,0.000115211,3.46792e-06,0.408
0.380864,0.000117465,-3.64213e-05,0.412
0.380864,0.00011974,-2.02503e-05,0.416
0.380864,0.000122038,-1.12592e-05,0.42
0.380864,0.000124356,3.20894e-05,0.424
0.380864,0.000126696,1.78417e-05,0.428
0.380864,0.000129058,9.92e-06,0.432
0.380864,0.000131441,5.51552e-06,0.436
0.380864,0.000133846,3.06663e-06,0.44
0.380864,0.000136272,-3.66445e-05,0.444
0.380864,0.000138719,1.79752e-05,0.448
0.380864,0.000141188,9.9942e-06,0.452
0.380864,0.000143678,-3.27927e-05,0.456
0.380864,0.00014619,2.01168e-05,0.46
0.380864,0.000148723,1.11849e-05,0.464
0.380864,0.000151278,-3.21307e-05,0.468
0.380864,0.000153854,-1.78647e-05,0.472
0.380864,0.000156451,-9.93276e-06,0.476
0.380864,0.00015907,3.28269e-05,0.48
0.380864,0.00016171,1.82518e-05,0.484
0.380864,0.000164372,-2.82015e-05,0.488
0.380864,0.000167054,-1.56801e-05,0.492
0.380864,0.000169759,2.96314e-05,0.496
0.380864,0.000172484,-2.18745e-05,0.5
0.380864,0.000175231,2.61873e-05,0.504
0.380864,0.000177999,1.45601e-05,0.508
0.380864,0.000180788,8.09544e-06,0.512
0.380864,0.000183599,-3.38484e-05,0.516
0.380864,0.000186431,1.95298e-05,0.52
0.380864,0.000189285,-2.7491e-05,0.524
0.380864,0.000192159,2.30645e-05,0.528
0.380864,0.000195055,-2.55256e-05,0.532
0.380864,0.000197972,-1.41922e-05,0.536
0.380864,0.00020091,3.04586e-05,0.54
0.380864,0.00020387,-2.14145e-05,0.544
0.380864,0.000206851,-1.19065e-05,0.548
0.380864,0.000209853,3.17295e-05,0.552
0.380864,0.000212876,1.76416e-05,0.556
0.380864,0.00021592,-2.85408e-05,0.56
0.380864,0.000218986,2.24808e-05,0.564
0.380864,0.000222073,1.24993e-05,0.568
0.380864,0.000225181,6.94964e-06,0.572
0.380864,0.00022831,-3.44855e-05,0.576
0.380864,0.00023146,1.91756e-05,0.58
0.380864,0.000234631,1.06616e-05,0.584
0.380864,0.000237824,5.92786e-06,0.588
0.380864,0.000241037,3.29589e-06,0.592
0.380864,0.000244272,1.83251e-06,0.596
0.380864,0.000247528,1.01888e-06,0.6
0.380864,0.000250805,5.66496e-07,0.604
0.380864,0.000254103,3.14972e-07,0.608
0.380864,0.000257422,1.75124e-07,0.612
0.380864,0.000260762,9.73691e-08,0.616
0.380864,0.000264124,5.41372e-08,0.62
0.380864,0.000267506,3.01003e-08,0.624
0.380864,0.000270909,1.67358e-08,0.628
0.380864,0.000274334,9.30509e-09,0.632
0.380864,0.000277779,5.17363e-09,0.636
0.380864,0.000281246,2.87654e-09,0.64
0.380864,0.000284733,1.59935e-09,0.644
0.380864,0.000288241,8.89241e-10,0.648
0.380864,0.000291771,4.94418e-10,0.652
0.380864,0.000295321,2.74897e-10,0.656
0.380864,0.000298893,1.52842e-10,0.66
0.380864,0.000302485,8.49804e-11,0.664
0.380864,0.000306098,4.72491e-11,0.668
0.380864,0.000309732,2.62705e-11,0.672
0.380864,0.000313388,1.46064e-11,0.676
0.380864,0.000317064,8.12116e-12,0.68
0.380864,0.000320761,4.51536e-12,0.684
0.380864,0.000324479,2.51054e-12,0.688
0.380864,0.000328217,1.39586e-12,0.692
0.380864,0.000331977,7.76099e-13,0.696
0.380864,0.000335758,4.31511e-13,0.7
0.380864,0.000339559,2.3992e-13,0.704
0.380864,0.000343381,1.33396e-13,0.708
0.380864,0.000347225,7.4168e-14,0.712
0.380864,0.000351089,4.12374e-14,0.716
0.380864,0.000354973,2.2928e-14,0.72
0.380864,0.000358879,1.2748e-14,0.724
0.380864,0.000362805,7.08787e-15,0.728
0.380864,0.000366753,3.94085e-15,0.732
0.380864,0.000370721,2.19111e-15,0.736
0.380864,0.00037471,1.21826e-15,0.74
0.380864,0.000378719,6.77352e-16,0.744
0.380864,0.00038275,3.76608e-16,0.748
0.380864,0.000386801,2.09394e-16,0.752
0.380864,0.000390873,1.16423e-16,0.756
0.380864,0.000394966,6.47312e-17,0.76
0.380864,0.000399079,3.59906e-17,0.764
0.380864,0.000403213,2.00108e-17,0.768
0.380864,0.000407368,1.1126e-17,0.772
0.380864,0.000411544,6.18604e-18,0.776
0.380864,0.00041574,-3.83495e-05,0.78
0.380864,0.000419957,1.70272e-05,0.784
0.380864,0.000424194,9.46711e-06,0.788
0.380864,0.000428453,-3.30858e-05,0.792
0.380864,0.000432732,1.99538e-05,0.796
0.380864,0.000437031,1.10943e-05,0.8
0.380864,0.000441352,6.16844e-06,0.804
0.380864,0.000445693,3.42965e-06,0.808
0.380864,0.000450054,1.90689e-06,0.812
0.380864,0.000454436,1.06023e-06,0.816
0.380864,0.000458839,5.89487e-07,0.82
0.380864,0.000463262,3.27755e-07,0.824
0.380864,0.000467706,1.82232e-07,0.828
0.380864,0.000472171,1.01321e-07,0.832
0.380864,0.000476656,-3.82932e-05,0.836
0.380864,0.000481162,1.70585e-05,0.84
