joint_pos, joint_vel_desired, joint_vel_filtered, current_time
6.35704e-05,3.06438e-07,0,0.004
6.35704e-05,1.22525e-06,0,0.008
6.35704e-05,2.75568e-06,0,0.012
6.35704e-05,4.89696e-06,0,0.016
6.35704e-05,7.64836e-06,0,0.02
6.32249e-05,1.10091e-05,-3.83495e-05,0.024
6.32249e-05,1.49784e-05,-2.13223e-05,0.028
6.32249e-05,1.95556e-05,-1.18552e-05,0.032
6.32249e-05,2.47399e-05,-6.5915e-06,0.036
6.32249e-05,3.05305e-05,-3.66487e-06,0.04
6.32249e-05,3.69266e-05,-2.03767e-06,0.044
6.32249e-05,4.39276e-05,-1.13294e-06,0.048
6.32249e-05,5.15327e-05,-6.29917e-07,0.052
6.32249e-05,5.9741e-05,-3.50234e-07,0.056
6.32249e-05,6.85519e-05,-1.9473e-07,0.06
6.32249e-05,7.79646e-05,-1.0827e-07,0.064
6.32249e-05,8.79784e-05,-6.01981e-08,0.068
6.32249e-05,9.85924e-05,-3.34701e-08,0.072
6.32249e-05,0.000109806,-1.86094e-08,0.076
6.32249e-05,0.000121618,-1.03468e-08,0.08
6.32249e-05,0.000134029,-5.75283e-09,0.084
6.32249e-05,0.000147036,-3.19857e-09,0.088
6.32249e-05,0.00016064,-1.77841e-09,0.092
6.32249e-05,0.00017484,-9.88795e-10,0.096
6.32249e-05,0.000189635,-5.4977e-10,0.1
6.32249e-05,0.000205024,-3.05672e-10,0.104
6.32249e-05,0.000221007,-1.69954e-10,0.108
6.32249e-05,0.000237582,-9.44942e-11,0.112
6.32249e-05,0.00025475,-5.25388e-11,0.116
6.32249e-05,0.000272508,-2.92116e-11,0.12
6.32249e-05,0.000290857,-1.62416e-11,0.124
6.32249e-05,0.000309796,-9.03035e-12,0.128
6.32249e-05,0.000329324,-5.02087e-12,0.132
6.32249e-05,0.00034944,-2.79161e-12,0.136
6.32249e-05,0.000370143,-1.55213e-12,0.14
6.32249e-05,0.000391433,-8.62986e-13,0.144
6.32249e-05,0.000413309,-4.7982e-13,0.148
6.32249e-05,0.000435771,-2.6678e-13,0.152
6.32249e-05,0.000458816,-1.4833e-13,0.156
6.32249e-05,0.000482446,-8.24713e-14,0.16
6.32249e-05,0.000506658,-4.5854e-14,0.164
6.32249e-05,0.000531452,-2.54948e-14,0.168
6.32249e-05,0.000556828,-1.41751e-14,0.172
6.32249e-05,0.000582785,-7.88137e-15,0.176
6.32249e-05,0.000609321,-4.38204e-15,0.18
6.32249e-05,0.000636437,-2.43642e-15,0.184
6.32249e-05,0.000664131,-1.35465e-15,0.188
6.32249e-05,0.000692403,-7.53184e-16,0.192
6.32249e-05,0.000721251,-4.1877e-16,0.196
6.32249e-05,0.000750676,-2.32836e-16,0.2
6.32249e-05,0.000780676,-1.29457e-16,0.204
6.32249e-05,0.000811251,-7.19781e-17,0.208
6.32249e-05,0.000842399,-4.00198e-17,0.212
6.32249e-05,0.000874121,-2.2251e-17,0.216
6.32249e-05,0.000906415,-1.23716e-17,0.22
6.32249e-05,0.000939281,-6.87859e-18,0.224
6.32249e-05,0.000972717,-3.8245e-18,0.228
6.32249e-05,0.00100672,-2.12642e-18,0.232
6.32249e-05,0.0010413,-1.18229e-18,0.236
6.32249e-05,0.00107644,-6.57353e-19,0.24
6.32249e-05,0.00111216,-3.65488e-19,0.244
6.32249e-05,0.00114844,-2.03211e-19,0.248
6.32249e-05,0.00118528,-1.12986e-19,0.252
6.32249e-05,0.00122269,-6.282e-20,0.256
6.32249e-05,0.00126067,-3.49279e-20,0.26
6.32249e-05,0.00129921,-1.94199e-20,0.264
6.32249e-05,0.00133831,-1.07975e-20,0.268
6.32249e-05,0.00137798,-6.00339e-21,0.272
6.32249e-05,0.00141821,-3.33789e-21,0.276
6.32249e-05,0.001459,-1.85587e-21,0.28
6.32249e-05,0.00150035,-1.03186e-21,0.284
6.32249e-05,0.00154226,-5.73715e-22,0.288
6.32249e-05,0.00158472,-3.18985e-22,0.292
6.32249e-05,0.00162775,-1.77356e-22,0.296
6.32249e-05,0.00167133,-9.86099e-23,0.3
6.32249e-05,0.00171547,-5.48271e-23,0.304
6.32249e-05,0.00176017,-3.04839e-23,0.308
6.32249e-05,0.00180542,-1.6949e-23,0.312
6.32249e-05,0.00185122,-9.42366e-24,0.316
6.32249e-05,0.00189758,-5.23956e-24,0.32
6.32249e-05,0.00194449,-2.91319e-24,0.324
6.32249e-05,0.00199196,-1.61974e-24,0.328
