joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, current_time
-0.879818,-0.879158,-3.06438e-07,0,0,0.004
-0.879818,-0.879158,-1.22525e-06,0,0,0.008
-0.879818,-0.879158,-2.75568e-06,0,0,0.012
-0.879818,-0.879158,-4.89696e-06,0,0,0.016
-0.879818,-0.879158,-7.64836e-06,0,0,0.02
-0.879818,-0.879159,-1.10091e-05,-7.6699e-05,0,0.024
-0.879818,-0.879159,-1.49784e-05,-8.09942e-05,0,0.028
-0.879818,-0.879159,-1.95556e-05,-8.33823e-05,0,0.032
-0.879818,-0.87916,-2.47399e-05,-8.47101e-05,0,0.036
-0.879818,-0.87916,-3.05305e-05,-8.54483e-05,0,0.04
-0.879819,-0.87916,-3.69266e-05,-8.58588e-05,0,0.044
-0.879819,-0.879161,-4.39276e-05,-0.000124436,0,0.048
-0.879819,-0.879161,-5.15327e-05,-6.91867e-05,0,0.052
-0.879819,-0.879161,-5.9741e-05,-3.84678e-05,0,0.056
-0.879819,-0.879161,-6.85519e-05,-2.13881e-05,0,0.06
-0.87982,-0.879161,-7.79646e-05,-1.18918e-05,0,0.064
-0.87982,-0.879161,-8.79784e-05,-6.61183e-06,0,0.068
-0.87982,-0.879161,-9.85924e-05,-3.67618e-06,0,0.072
-0.879821,-0.879161,-0.000109806,-2.04395e-06,0,0.076
-0.879821,-0.879161,-0.000121618,-1.13644e-06,0,0.08
-0.879822,-0.879161,-0.000134029,-6.3186e-07,0,0.084
-0.879822,-0.879161,-0.000147036,-3.51314e-07,0,0.088
-0.879823,-0.879161,-0.00016064,-1.95331e-07,0,0.092
-0.879824,-0.879162,-0.00017484,-3.84581e-05,0,0.096
-0.879824,-0.879162,-0.000189635,-2.13827e-05,0,0.1
-0.879825,-0.879162,-0.000205024,-1.18888e-05,0,0.104
-0.879826,-0.879162,-0.000221007,-6.61017e-06,0,0.108
-0.879827,-0.879162,-0.000237582,-3.67525e-06,0,0.112
-0.879828,-0.879162,-0.00025475,-2.04344e-06,0,0.116
-0.879829,-0.879162,-0.000272508,-1.13615e-06,0,0.12
-0.87983,-0.879162,-0.000290857,-6.31701e-07,0,0.124
-0.879831,-0.879162,-0.000309796,-3.51226e-07,0,0.128
-0.879833,-0.879162,-0.000329324,-1.95282e-07,0,0.132
-0.879834,-0.879162,-0.00034944,-1.08577e-07,0,0.136
-0.879835,-0.879162,-0.000370143,-6.03685e-08,0,0.14
-0.879837,-0.879162,-0.000391433,-3.35649e-08,0,0.144
-0.879838,-0.879162,-0.000413309,-1.86621e-08,0,0.148
-0.87984,-0.879162,-0.000435771,-3.83599e-05,0,0.152
-0.879842,-0.879162,-0.000458816,1.70214e-05,0,0.156
-0.879844,-0.879162,-0.000482446,-2.88856e-05,0,0.16
-0.879846,-0.879162,-0.000506658,-1.60604e-05,0,0.164
-0.879848,-0.879162,-0.000531452,2.94199e-05,0,0.168
-0.87985,-0.879162,-0.000556828,-2.1992e-05,0,0.172
-0.879852,-0.879162,-0.000582785,-1.22276e-05,0,0.176
-0.879855,-0.879162,-0.000609321,-6.79853e-06,0,0.18
-0.879857,-0.879162,-0.000636437,-3.77998e-06,0,0.184
-0.87986,-0.879162,-0.000664131,-2.10167e-06,0,0.188
-0.879863,-0.879162,-0.000692403,-1.16853e-06,0,0.192
-0.879865,-0.879162,-0.000721251,-6.49702e-07,0,0.196
-0.879868,-0.879162,-0.000750676,-3.61234e-07,0,0.2
-0.879871,-0.879162,-0.000780676,-2.00846e-07,0,0.204
-0.879875,-0.879162,-0.000811251,-1.1167e-07,0,0.208
-0.879878,-0.879162,-0.000842399,-6.20888e-08,0,0.212
-0.879881,-0.879162,-0.000874121,-3.45214e-08,0,0.216
-0.879885,-0.879162,-0.000906415,-1.91939e-08,0,0.22
-0.879889,-0.879162,-0.000939281,-1.06718e-08,0,0.224
-0.879892,-0.879162,-0.000972717,-5.93352e-09,0,0.228
-0.879896,-0.879162,-0.00100672,-3.29904e-09,0,0.232
-0.8799,-0.879162,-0.0010413,-1.83426e-09,0,0.236
-0.879905,-0.879162,-0.00107644,-1.01985e-09,0,0.24
-0.879909,-0.879162,-0.00111216,-5.67037e-10,0,0.244
-0.879914,-0.879162,-0.00114844,-3.15273e-10,0,0.248
-0.879918,-0.879162,-0.00118528,-1.75292e-10,0,0.252
-0.879923,-0.879162,-0.00122269,-9.74621e-11,0,0.256
-0.879928,-0.879162,-0.00126067,-5.41889e-11,0,0.26
-0.879933,-0.879162,-0.00129921,-3.01291e-11,0,0.264
-0.879938,-0.879162,-0.00133831,-1.67518e-11,0,0.268
-0.879944,-0.879162,-0.00137798,-9.31398e-12,0,0.272
-0.879949,-0.879162,-0.00141821,-5.17857e-12,0,0.276
-0.879955,-0.879162,-0.001459,-3.83495e-05,0,0.28
-0.879961,-0.879162,-0.00150035,1.70272e-05,0,0.284
-0.879967,-0.879162,-0.00154226,-2.88824e-05,0,0.288
