joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, propo_term_torque, deriv_term_torque, current_time
-0.79,-0.789641,3.06438e-07,0,0,0,0,0.004
-0.79,-0.789641,1.22525e-06,0,0,0,0,0.008
-0.79,-0.789641,2.75568e-06,0,0,0,0,0.012
-0.79,-0.789641,4.89696e-06,0,0,0,0,0.016
-0.79,-0.789641,7.64836e-06,0,0,0,0,0.02
-0.79,-0.789641,1.10091e-05,0,0,0,0,0.024
-0.79,-0.789641,1.49784e-05,0,0,0,0,0.028
-0.79,-0.789641,1.95556e-05,0,0,0,0,0.032
-0.79,-0.789641,2.47399e-05,0,0,0,0,0.036
-0.79,-0.789641,3.05305e-05,0,0,0,0,0.04
-0.789999,-0.789641,3.69266e-05,0,0,0,0,0.044
-0.789999,-0.789641,4.39276e-05,0,0,0,0,0.048
-0.789999,-0.789641,5.15327e-05,0,0,0,0,0.052
-0.789999,-0.789641,5.9741e-05,0,0,0,0,0.056
-0.789999,-0.789641,6.85519e-05,0,0,0,0,0.06
-0.789998,-0.789641,7.79646e-05,0,0,0,0,0.064
-0.789998,-0.789641,8.79784e-05,0,0,0,0,0.068
-0.789998,-0.789641,9.85924e-05,0,0,0,0,0.072
-0.789997,-0.789641,0.000109806,0,0,0,0,0.076
-0.789997,-0.789641,0.000121618,0,0,0,0,0.08
-0.789996,-0.789641,0.000134029,0,0,0,0,0.084
-0.789996,-0.789641,0.000147036,0,0,0,0,0.088
-0.789995,-0.789641,0.00016064,0,0,0,0,0.092
-0.789994,-0.789641,0.00017484,0,0,0,0,0.096
-0.789994,-0.789641,0.000189635,0,0,0,0,0.1
-0.789993,-0.789641,0.000205024,0,0,0,0,0.104
-0.789992,-0.789641,0.000221007,0,0,0,0,0.108
-0.789991,-0.789641,0.000237582,0,0,0,0,0.112
-0.78999,-0.789641,0.00025475,0,0,0,0,0.116
-0.789989,-0.789641,0.000272508,0,0,0,0,0.12
-0.789988,-0.789641,0.000290857,0,0,0,0,0.124
-0.789987,-0.789641,0.000309796,0,0,0,0,0.128
-0.789985,-0.789641,0.000329324,0,0,0,0,0.132
-0.789984,-0.789641,0.00034944,0,0,0,0,0.136
-0.789983,-0.789641,0.000370143,0,0,0,0,0.14
-0.789981,-0.789641,0.000391433,0,0,0,0,0.144
-0.78998,-0.789641,0.000413309,0,0,0,0,0.148
-0.789978,-0.789641,0.000435771,0,0,0,0,0.152
-0.789976,-0.789641,0.000458816,0,0,0,0,0.156
-0.789974,-0.789641,0.000482446,0,0,0,0,0.16
-0.789972,-0.789641,0.000506658,0,0,0,0,0.164
-0.78997,-0.789641,0.000531452,0,0,0,0,0.168
-0.789968,-0.789641,0.000556828,0,0,0,0,0.172
-0.789966,-0.789641,0.000582785,0,0,0,0,0.176
-0.789963,-0.789641,0.000609321,0,0,0,0,0.18
-0.789961,-0.789641,0.000636437,0,0,0,0,0.184
-0.789958,-0.789641,0.000664131,0,0,0,0,0.188
-0.789955,-0.789641,0.000692403,0,0,0,0,0.192
-0.789953,-0.789641,0.000721251,0,0,0,0,0.196
-0.78995,-0.789641,0.000750676,0,0,0,0,0.2
-0.789947,-0.789641,0.000780676,0,0,0,0,0.204
-0.789943,-0.789641,0.000811251,0,0,0,0,0.208
-0.78994,-0.789641,0.000842399,0,0,0,0,0.212
-0.789937,-0.789641,0.000874121,0,0,0,0,0.216
-0.789933,-0.789641,0.000906415,0,0,0,0,0.22
-0.789929,-0.789641,0.000939281,0,0,0,0,0.224
-0.789926,-0.789641,0.000972717,0,0,0,0,0.228
-0.789922,-0.789641,0.00100672,0,0,0,0,0.232
-0.789918,-0.789641,0.0010413,0,0,0,0,0.236
-0.789913,-0.789641,0.00107644,0,0,0,0,0.24
-0.789909,-0.789641,0.00111216,0,0,0,0,0.244
-0.789904,-0.789641,0.00114844,0,0,0,0,0.248
-0.7899,-0.789641,0.00118528,0,0,0,0,0.252
-0.789895,-0.789641,0.00122269,0,0,0,0,0.256
-0.78989,-0.789641,0.00126067,0,0,0,0,0.26
