joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, propo_term_torque, deriv_term_torque, current_time
-4.08626e-10,-7.63535e-05,-3.06438e-07,0,0,0,0,0.004
-3.268e-09,-7.63535e-05,-1.22525e-06,0,0,0,0,0.008
-1.10261e-08,-7.6699e-05,-2.75568e-06,-3.83495e-05,0,0,0,0.012
-2.61279e-08,-7.6699e-05,-4.89696e-06,-2.13223e-05,0,0,0,0.016
-5.10153e-08,-7.63535e-05,-7.64836e-06,2.64943e-05,0,0,0,0.02
-8.81272e-08,-7.6699e-05,-1.10091e-05,-2.36187e-05,0,0,0,0.024
-1.399e-07,-7.63535e-05,-1.49784e-05,2.52175e-05,0,0,0,0.028
-2.08765e-07,-7.63535e-05,-1.95556e-05,1.40209e-05,0,0,0,0.032
-2.97154e-07,-7.63535e-05,-2.47399e-05,7.79564e-06,0,0,0,0.036
-4.07493e-07,-7.63535e-05,-3.05305e-05,4.33438e-06,0,0,0,0.04
-5.42205e-07,-7.63535e-05,-3.69266e-05,2.40991e-06,0,0,0,0.044
-7.03712e-07,-7.63535e-05,-4.39276e-05,1.33991e-06,0,0,0,0.048
-8.94432e-07,-7.6699e-05,-5.15327e-05,-3.76045e-05,0,0,0,0.052
-1.11678e-06,-7.6699e-05,-5.9741e-05,-2.09081e-05,0,0,0,0.056
-1.37316e-06,-7.63535e-05,-6.85519e-05,2.67246e-05,0,0,0,0.06
-1.666e-06,-7.6699e-05,-7.79646e-05,-2.34906e-05,0,0,0,0.064
-1.99768e-06,-7.6699e-05,-8.79784e-05,-1.30608e-05,0,0,0,0.068
-2.37062e-06,-7.6699e-05,-9.85924e-05,-7.2618e-06,0,0,0,0.072
-2.78722e-06,-7.6699e-05,-0.000109806,-4.03756e-06,0,0,0,0.076
-3.24987e-06,-7.6699e-05,-0.000121618,-2.24488e-06,0,0,0,0.08
-3.76096e-06,-7.63535e-05,-0.000134029,3.71014e-05,0,0,0,0.084
-4.32289e-06,-7.63535e-05,-0.000147036,2.06284e-05,0,0,0,0.088
-4.93805e-06,-7.6699e-05,-0.00016064,-2.68801e-05,0,0,0,0.092
-5.60881e-06,-7.6699e-05,-0.00017484,-1.49454e-05,0,0,0,0.096
-6.33757e-06,-7.6699e-05,-0.000189635,-8.30962e-06,0,0,0,0.1
-7.12669e-06,-7.6699e-05,-0.000205024,-4.62015e-06,0,0,0,0.104
-7.97855e-06,-7.63535e-05,-0.000221007,3.57807e-05,0,0,0,0.108
-8.89553e-06,-7.6699e-05,-0.000237582,-1.84554e-05,0,0,0,0.112
-9.88e-06,-7.6699e-05,-0.00025475,-1.02612e-05,0,0,0,0.116
-1.09343e-05,-7.63535e-05,-0.000272508,3.26443e-05,0,0,0,0.12
-1.20609e-05,-7.6699e-05,-0.000290857,-2.01993e-05,0,0,0,0.124
-1.3262e-05,-7.6699e-05,-0.000309796,-1.12308e-05,0,0,0,0.128
-1.454e-05,-7.6699e-05,-0.000329324,-6.24433e-06,0,0,0,0.132
-1.58973e-05,-7.63535e-05,-0.00034944,3.48777e-05,1,0,1,0.136
-1.73363e-05,-7.6699e-05,-0.000370143,-1.89575e-05,0,0,1,0.14
-1.88593e-05,-7.63535e-05,-0.000391433,2.78091e-05,1,0,1,0.144
-2.04686e-05,-7.6699e-05,-0.000413309,-2.28876e-05,1,0,1,0.148
-2.21665e-05,-7.6699e-05,-0.000435771,-1.27255e-05,1,0,1,0.152
-2.39555e-05,-7.6699e-05,-0.000458816,-7.07539e-06,1,0,1,0.156
-2.58378e-05,-7.63535e-05,-0.000482446,3.44156e-05,1,0,1,0.16
-2.78158e-05,-7.63535e-05,-0.000506658,1.91351e-05,1,0,1,0.164
-2.98919e-05,-7.63535e-05,-0.000531452,1.06391e-05,1,0,1,0.168
-3.20682e-05,-7.6699e-05,-0.000556828,-3.24342e-05,1,0,1,0.172
-3.43473e-05,-7.6699e-05,-0.000582785,-1.80334e-05,1,0,1,0.176
-3.67313e-05,-7.6699e-05,-0.000609321,-1.00266e-05,1,0,1,0.18
-3.92226e-05,-7.6699e-05,-0.000636437,-5.57477e-06,1,0,1,0.184
-4.18236e-05,-7.63535e-05,-0.000664131,3.52499e-05,2,0,2,0.188
-4.45364e-05,-7.6699e-05,-0.000692403,-1.87505e-05,1,0,2,0.192
-4.73635e-05,-7.6699e-05,-0.000721251,-1.04253e-05,2,0,2,0.196
-5.03072e-05,-7.6699e-05,-0.000750676,-5.79647e-06,2,0,2,0.2
-5.33697e-05,-7.6699e-05,-0.000780676,-3.22284e-06,2,0,2,0.204
-5.65534e-05,-7.6699e-05,-0.000811251,-1.7919e-06,2,0,2,0.208
-5.98605e-05,-7.6699e-05,-0.000842399,-9.96295e-07,2,0,2,0.212
-6.32933e-05,-7.63535e-05,-0.000874121,3.77956e-05,2,0,2,0.216
-6.68542e-05,-7.6699e-05,-0.000906415,-1.73352e-05,2,0,2,0.22
-7.05454e-05,-7.6699e-05,-0.000939281,-9.63836e-06,2,0,2,0.224
-7.43692e-05,-7.6699e-05,-0.000972717,-5.35893e-06,2,0,2,0.228
-7.83279e-05,-7.6699e-05,-0.00100672,-2.97956e-06,3,0,3,0.232
-8.24238e-05,-7.6699e-05,-0.0010413,-1.65664e-06,3,0,3,0.236
-8.66591e-05,-7.6699e-05,-0.00107644,-9.2109e-07,3,0,3,0.24
-9.10361e-05,-7.6699e-05,-0.00111216,-5.12126e-07,3,0,3,0.244
-9.55571e-05,-7.6699e-05,-0.00114844,-2.84742e-07,3,0,3,0.248
-0.000100224,-7.6699e-05,-0.00118528,-1.58317e-07,3,0,3,0.252
-0.00010504,-7.6699e-05,-0.00122269,-8.8024e-08,3,0,3,0.256
-0.000110007,-7.70445e-05,-0.00126067,-3.83985e-05,3,0,3,0.26
-0.000115126,-7.70445e-05,-0.00129921,-2.13495e-05,3,0,3,0.264
-0.000120401,-7.70445e-05,-0.00133831,-1.18703e-05,4,0,3,0.268
-0.000125833,-7.70445e-05,-0.00137798,-6.59991e-06,4,0,4,0.272
-0.000131426,-7.739e-05,-0.00141821,-4.20191e-05,4,0,4,0.276
-0.00013718,-7.70445e-05,-0.001459,1.49869e-05,4,0,4,0.28
-0.000143098,-7.739e-05,-0.00150035,-3.00168e-05,4,0,4,0.284
-0.000149183,-7.739e-05,-0.00154226,-1.66893e-05,4,0,4,0.288
-0.000155437,-7.739e-05,-0.00158472,-9.27927e-06,4,0,4,0.292
-0.000161862,-7.739e-05,-0.00162775,-5.15927e-06,4,0,4,0.296
-0.00016846,-7.739e-05,-0.00167133,-2.86856e-06,5,0,5,0.3
-0.000175233,-7.739e-05,-0.00171547,-1.59492e-06,5,0,5,0.304
-0.000182184,-7.739e-05,-0.00176017,-8.86774e-07,5,0,5,0.308
-0.000189315,-7.77355e-05,-0.00180542,-3.88426e-05,5,0,5,0.312
-0.000196629,-7.77355e-05,-0.00185122,-2.15965e-05,5,0,5,0.316
-0.000204126,-7.77355e-05,-0.00189758,-1.20076e-05,5,0,5,0.32
-0.00021181,-7.77355e-05,-0.00194449,-6.67624e-06,5,0,5,0.324
-0.000219683,-7.77355e-05,-0.00199196,-3.71199e-06,6,0,5,0.328
-0.000227746,-7.77355e-05,-0.00203997,-2.06387e-06,6,0,6,0.332
-0.000236003,-7.77355e-05,-0.00208854,-1.14751e-06,6,0,6,0.336
-0.000244455,-7.77355e-05,-0.00213765,-6.38016e-07,6,0,6,0.34
-0.000253105,-7.77355e-05,-0.00218732,-3.54737e-07,6,0,6,0.344
-0.000261955,-7.8081e-05,-0.00223753,-3.85467e-05,6,0,6,0.348
-0.000271006,-7.8081e-05,-0.00228829,-2.1432e-05,7,0,6,0.352
-0.000280262,-7.8081e-05,-0.00233959,-1.19162e-05,7,0,6,0.356
-0.000289724,-7.8081e-05,-0.00239145,-6.6254e-06,7,0,7,0.36
-0.000299394,-7.8081e-05,-0.00244384,-3.68372e-06,7,0,7,0.364
-0.000309275,-7.8081e-05,-0.00249678,-2.04815e-06,7,0,7,0.368
-0.000319369,-7.8081e-05,-0.00255027,-1.13877e-06,7,0,7,0.372
-0.000329678,-7.8081e-05,-0.0026043,-6.33157e-07,8,0,7,0.376
-0.000340204,-7.84265e-05,-0.00265887,-3.87015e-05,8,0,7,0.38
-0.00035095,-7.84265e-05,-0.00271398,-2.15181e-05,8,0,8,0.384
-0.000361917,-7.84265e-05,-0.00276964,-1.1964e-05,8,0,8,0.388
-0.000373107,-7.84265e-05,-0.00282583,-6.65201e-06,8,0,8,0.392
-0.000384524,-7.8772e-05,-0.00288256,-4.2048e-05,8,0,8,0.396
-0.000396169,-7.8772e-05,-0.00293983,-2.33787e-05,9,0,8,0.4
-0.000408043,-7.8772e-05,-0.00299764,-1.29986e-05,9,0,8,0.404
-0.00042015,-7.8772e-05,-0.00305599,-7.2272e-06,9,0,9,0.408
-0.000432492,-7.8772e-05,-0.00311487,-4.01832e-06,9,0,9,0.412
-0.00044507,-7.8772e-05,-0.00317429,-2.23419e-06,9,0,9,0.416
-0.000457887,-7.8772e-05,-0.00323424,-1.24221e-06,10,0,9,0.42
-0.000470945,-7.91175e-05,-0.00329472,-3.90402e-05,10,0,9,0.424
-0.000484246,-7.91175e-05,-0.00335574,-2.17063e-05,10,0,10,0.428
-0.000497791,-7.91175e-05,-0.00341729,-1.20687e-05,10,0,10,0.432
-0.000511585,-7.91175e-05,-0.00347938,-6.71021e-06,10,0,10,0.436
-0.000525627,-7.8772e-05,-0.00354199,3.46186e-05,11,0,10,0.44
-0.000539921,-7.9463e-05,-0.00360514,-5.74511e-05,11,0,10,0.444
-0.000554469,-7.98084e-05,-0.00366881,-7.02923e-05,11,0,10,0.448
-0.000569272,-7.98084e-05,-0.00373301,-3.90825e-05,11,0,11,0.452
-0.000584334,-7.98084e-05,-0.00379774,-2.17299e-05,11,0,11,0.456
-0.000599655,-7.98084e-05,-0.003863,-1.20818e-05,12,0,11,0.46
-0.000615238,-7.98084e-05,-0.00392879,-6.71749e-06,12,0,11,0.464
-0.000631086,-7.98084e-05,-0.0039951,-3.73492e-06,12,0,11,0.468
-0.0006472,-7.98084e-05,-0.00406193,-2.07662e-06,12,0,12,0.472
-0.000663582,-8.01539e-05,-0.00412929,-3.95041e-05,12,0,12,0.476
-0.000680235,-8.01539e-05,-0.00419717,-2.19643e-05,13,0,12,0.48
